video_id,title,channel_title,views,likes,comments,category,publish_date
-aSBct_gl-8,Why Big Tech Companies Want to Build AI Data Centres in Space? | Vantage with Palki Sharma | N18G,Firstpost,106870,1636,194,Unknown,2025-11-05T17:19:31Z
u7Mu7AAiabo,Good News for Battery Progress!,Sabine Hossenfelder,593192,24550,1736,Unknown,2025-11-04T16:01:32Z
znaNVWPSx68,"Tech News 2056 || realme GT 8 Pro, OPPO Find X9 Ultra, Apple X Google, Starlink, Telecom Tarrifs.Etc",Prasadtechintelugu,162877,11377,490,Unknown,2025-11-06T14:24:14Z
gkklrVa8amY,The Most Futuristic Tech Of 2025.....,TechWiser,962412,61677,220,Unknown,2025-03-06T10:09:46Z
8g5img1hTes,The Truth About AI And The Mass Layoffs,CNBC,364343,5576,602,Unknown,2025-11-04T17:00:17Z
_CLDk-wTZ5Q,China brain tech rivals Muskâ€™s Neuralink,CNN,84824,2323,338,Unknown,2025-07-21T00:00:41Z
iG35MhoBNgo,"Tech News 2050 || iQOO 15 Launch, Galaxy TriFold, Nothing 3(a) Series, Vacuum, OpenAI music App.Etc.",Prasadtechintelugu,176089,12034,345,Unknown,2025-10-27T14:01:13Z
Bw8PGEaBCe8,US Army showcases autonomous weapons with serious bite!,BFBS Forces News,654632,11827,465,Unknown,2024-08-09T11:00:10Z
nlmSLdRJzaY,Big Tech News You Probably Missed This Past Week #tech,Tiff In Tech,24872,939,15,Unknown,2023-07-03T15:26:40Z
W7loYyy9tq8,Top Tech News from This week,The Cutting Edge School,14576,600,15,Unknown,2025-05-30T14:06:01Z
5fKkXFresYI,5 Times Tech has SAVED LIVES!,Mrwhosetheboss,41098221,2634866,8300,Unknown,2022-10-15T08:25:08Z
sU4CHW36qn0,Scientists Invent Youth Cocktail | Technology News | PRO Robots #shorts,PRO ROBOTS,4888,203,21,Unknown,2023-07-26T13:52:31Z
_vUUs5rrRAs,This Robot Will Replace the Police,Tech Moments,10609263,368672,7050,Unknown,2024-12-11T15:00:50Z
f-FyMY1LMwI,Top 15 New Technology Trends That Will Define 2026 [Part 2],AI Uncovered,159313,2204,78,Unknown,2025-10-21T09:52:34Z
1UufaK3pQMg,AI2027: Is this how AI might destroy humanity? - BBC World Service,BBC World Service,1597758,16662,4541,Unknown,2025-08-01T23:00:03Z
Oa0ZHfcalCM,"What do tech pioneers think about the AI revolution? - The Engineers, BBC World Service",BBC World Service,2061287,34388,1082,Unknown,2024-08-10T11:00:31Z
e5MqjY-4SFc,"Tech News 2057 || OPPO Find X9 series, GTA 6 Postponed, iPhone Air 2, Reno 15 mini, CMF Etc..",Prasadtechintelugu,141015,10536,340,Unknown,2025-11-07T14:30:09Z
84fsg6RSaHo,"Tech news 2051 || iQOO 15 launch , OnePlus 15, Samsung Tri Fold, Nothing 3a Lite, Lava Agni 4 Launch",Prasadtechintelugu,214565,13554,403,Unknown,2025-10-28T14:11:15Z
ypicIkaiViM,AI &amp; future of workforce: Andrew Yang on how the technology will impact jobs,CNBC Television,856476,7161,2349,Unknown,2025-06-18T12:39:53Z
DK9ZoAK3TD8,Technology is coming in many ways ðŸ¤¯ #shortsfeed #relatable #batterfly  #technology #news #aviation,THE TIREPRENEUR,2304,10,0,Unknown,2025-06-29T09:18:28Z
